0,1,2,3,4,5,6,7,8,9,10,name_table,period
Year,2019,2019,2020,2020,2021,2021,2022 (P),2022 (P),6/2023 (P),6/2023 (P),VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Currency,USD,VND,USD,VND,USD,VND,USD,VND,USD,VND,VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
DƯ NỢ,"125.215,30","2.897.857,78","135.396,27","3.138.620,82","142.009,30","3.284.107,17","137.176,15","3.248.468,46","141.931,46","3.358.098,36",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Nợ nước ngoài,"47.733,63","1.104.699,34","49.008,24","1.136.059,94","46.552,13","1.076.564,56","41.171,97","974.993,41","41.570,46","983.556,99",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Nợ trong nước,"77.481,68","1.793.158,44","86.388,03","2.002.560,88","95.457,17","2.207.542,61","96.004,18","2.273.475,05","100.361,01","2.374.541,37",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
RÚT VỐN TRONG KỲ,"12.388,33","285.044,89","19.166,89","444.751,39","19.561,23","452.901,24","11.197,00","260.246,27","8.900,78","211.107,12",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Nợ nước ngoài,"2.285,81","52.515,11","2.230,40","51.658,29","1.933,36","44.688,24","1.954,23","45.524,27","659,30","16.369,15",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Nợ trong nước,"10.102,52","232.529,78","16.936,49","393.093,10","17.627,87","408.213,00","9.242,78","214.722,00","8.241,48","194.737,97",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
TỔNG TRẢ NỢ TRONG KỲ,"12.766,65","293.834,98","15.633,04","362.802,15","15.942,20","369.170,14","13.614,93","316.305,61","7.645,62","180.663,77",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Nợ nước ngoài,"2.556,14","58.819,63","3.508,12","81.384,86","3.156,35","73.084,91","3.412,18","79.282,16","1.702,74","40.239,50",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Nợ trong nước,"10.210,51","235.015,35","12.124,92","281.417,29","12.785,85","296.085,23","10.202,75","237.023,45","5.942,88","140.424,27",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Tổng trả nợ gốc trong kỳ,"7.898,96","181.795,89","10.705,86","248.444,16","11.301,31","261.698,83","9.219,39","214.183,91","5.294,76","125.114,42",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Nợ nước ngoài,"1.820,88","41.896,61","2.785,97","64.624,86","2.529,21","58.561,07","2.790,81","64.839,41","1.331,38","31.463,78",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Nợ trong nước,"6.078,08","139.899,28","7.919,89","183.819,30","8.772,10","203.137,76","6.428,58","149.344,50","3.963,38","93.650,64",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Tổng trả lãi và phí trong kỳ,"4.867,69","112.039,09","4.927,18","114.357,99","4.640,90","107.471,32","4.395,54","102.121,70","2.350,87","55.549,36",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Nợ nước ngoài,"735,26","16.923,02","722,15","16.760,00","627,15","14.523,84","621,37","14.442,75","371,37","8.775,73",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
Nợ trong nước,"4.132,43","95.116,07","4.205,03","97.597,99","4.013,75","92.947,48","3.774,17","87.678,95","1.979,50","46.773,63",VAY VÀ TRẢ NỢ CỦA CHÍNH PHỦ,Thời kỳ báo cáo: 2019 – 6/2023
